,Index By Date,Vehicle Class,Vehicle Make,Vehicle Model,Fuel Type,Cylinder Capacity Of Engine (c.c.),Body Type,First Registration Vehicle Status (Note),Permitted Gross Vehicle Weight ,Number Of Passenger Seats ,Taxable Value (HK$),Year Of Manufacture,Date Of Registration
0,21_01_0,Private Car,B.M.W.,218IA GRAN TOURER (F46),Petrol,1499,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020,2021-01
1,21_01_1,Private Car,TOYOTA,C-HR,Petrol,1798,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020,2021-01
2,21_01_2,Private Car,AUDI,RS7 SPORTBACK QUATTRO,Petrol,3996,SALOON,A,-,4,"> 500,000",2020,2021-01
3,21_01_3,Private Car,B.M.W.,M2 CS MANUAL (F87),Petrol,2979,SALOON,A,-,3,"> 500,000",2020,2021-01
4,21_01_4,Private Car,HONDA,ODYSSEY ABSOLUTE,Petrol,2356,STATION WAGGON,C2,-,6,"<= 150,000",2013,2021-01
5,21_01_5,Private Car,HONDA,FIT HYBRID S HONDA SENSING,Petrol,1496,STATION WAGGON,C2,-,4,"<= 150,000",2017,2021-01
6,21_01_6,Private Car,MASERATI,LEVANTE,Petrol,2979,STATION WAGGON,A,-,4,"> 500,000",2019,2021-01
7,21_01_7,Private Car,LOTUS,ELISE SPORT 220 HERITAGE EDITION,Petrol,1798,CONVERTIBLE,A,-,1,"> 300,000 and <= 500,000",2020,2021-01
8,21_01_8,Private Car,B.M.W.,M135IA XDRIVE (F40),Petrol,1998,STATION WAGGON,A,-,4,"> 300,000 and <= 500,000",2020,2021-01
9,21_01_9,Private Car,MERCEDES BENZ,E200 EXCLUSIVE FACELIFT (W213),Petrol,1991,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,2021-01
10,21_01_10,Private Car,MERCEDES BENZ,GLB250 4MATIC (X247),Petrol,1991,STATION WAGGON,A,-,6,"> 300,000 and <= 500,000",2020,2021-01
11,21_01_11,Private Car,B.M.W.,530IA SALOON LUXURY (G30),Petrol,1998,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,2021-01
12,21_01_12,Private Car,MERCEDES BENZ,A200 (W177),Petrol,1332,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020,2021-01
